,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
25,3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,78,1967-09,0.491,0.583,7,-10.964,1,0.185,0.0,0.406,0.908,150.566,183307,4
26,4fINc8dnfcz7AdhFYVA4i7,It Girl,Jason Derulo,69,2011-09-16,0.668,0.718,1,-4.736,0,0.0165,0.0,0.104,0.345,91.993,192200,4
27,0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",Train,0,2009-08-06,0.675,0.885,1,-4.432,0,0.217,0.0,0.086,0.768,97.03,216667,4
28,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,75,2017-06-16,0.801,0.795,1,-5.115,0,0.0417,0.000113,0.0717,0.754,79.028,163253,4
29,7BKLCZ1jbUBVqRi2FVlTVw,Closer,Halsey,83,2016-07-29,0.748,0.524,8,-5.599,1,0.414,0.0,0.111,0.661,95.01,244960,4
30,1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,72,2016-09-23,0.669,0.832,0,-5.721,1,0.0106,0.0,0.0968,0.7,113.035,237547,4
31,2q4rjDy9WhaN3o9MvDbO21,Kiss Me Thru The Phone,Sammie,76,2008-01-01,0.758,0.712,7,-3.781,1,0.0185,0.0,0.0677,0.795,149.998,193387,4
32,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Bruno Mars,81,2015-01-12,0.856,0.609,0,-7.223,1,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4
33,1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,74,2014-10-27,0.753,0.678,5,-5.421,1,0.085,1.64e-06,0.13,0.583,96.006,231827,4
34,7LcfRTgAVTs5pQGEQgUEzN,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Christina Aguilera,69,2010,0.722,0.758,11,-4.477,0,0.0111,0.0,0.308,0.62,128.047,201160,4
35,6F5c58TMEs1byxUstkzVeM,Roar,Katy Perry,72,2013-10-18,0.554,0.772,7,-4.821,0,0.00487,6.6e-06,0.354,0.455,179.984,223546,4
36,7Cp69rNBwU0gaFT8zxExlE,Ymca,Village People,49,2002,0.715,0.951,6,-6.488,1,0.152,0.0,0.302,0.671,126.643,284867,4
37,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,68,2008-11-11,0.687,0.783,6,-4.44,1,0.162,1.35e-05,0.114,0.443,129.964,231133,4
38,0kYUrLVQOfx21xuXu7OGrT,All These Things That I've Done,The Killers,61,2004-06-15,0.557,0.728,6,-6.181,1,0.00156,5.13e-06,0.118,0.216,118.241,301573,4
39,72jCZdH0Lhg93z6Z4hBjgj,I Knew You Were Trouble.,Taylor Swift,62,2012-10-22,0.622,0.469,3,-6.798,0,0.00454,2.25e-06,0.0398,0.679,77.019,217973,4
40,76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,79,2016-11-18,0.774,0.753,4,-5.446,0,0.152,0.0,0.0371,0.896,119.002,219147,4
41,3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,Carly Rae Jepsen,71,2012-01-01,0.783,0.58,7,-6.548,1,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
42,3bIxTsfeNMO7Nt2J3EUKrA,22,Taylor Swift,56,2012-10-22,0.658,0.729,7,-6.561,1,0.00215,0.0013,0.0752,0.668,104.007,230133,4
43,6tS3XVuOyu10897O3ae7bi,California Gurls,Snoop Dogg,72,2012-03-12,0.791,0.754,0,-3.729,1,0.00446,0.0,0.163,0.425,125.014,234653,4
44,6qnM0XXPZOINWA778uNqQ9,Welcome To New York,Taylor Swift,60,2014-10-27,0.793,0.634,7,-4.807,1,0.038,1.76e-06,0.304,0.615,117.024,212600,4
45,15DeqWWQB4dcEWzJg15VrN,Our Song,Taylor Swift,68,2006-10-24,0.668,0.672,2,-4.931,1,0.111,0.0,0.329,0.539,89.011,201107,4
46,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,67,2008-11-11,0.618,0.741,2,-3.95,1,0.17,0.0,0.0822,0.296,118.984,235267,4
47,4WXzzCof26KJLTK5kK53dS,Hey Stephen,Taylor Swift,47,2008-11-11,0.841,0.544,6,-7.347,1,0.194,2.48e-06,0.108,0.831,115.994,254307,4
48,1fo2ctLqj3zBhRQKOXprol,Style,Taylor Swift,61,2014-10-27,0.588,0.791,7,-5.595,1,0.00245,0.00258,0.118,0.487,94.933,231000,4
49,5xTtaWoae3wi06K5WfVUUH,Shake It Off,Taylor Swift,71,2014-10-27,0.647,0.785,7,-5.414,1,0.0561,0.0,0.148,0.943,160.015,219200,4
50,5yEPktRqvIhko5QFF3aBhQ,Mean,Taylor Swift,63,2010-10-25,0.568,0.761,4,-3.987,1,0.452,0.0,0.217,0.789,163.974,237733,4
51,0CLnkxpa3M4eA3HeGaERat,Gorgeous,Taylor Swift,0,2017-10-20,0.794,0.537,7,-6.865,1,0.079,4.98e-06,0.227,0.418,92.022,209680,4
52,7zMcNqs55Mxer82bvZFkpg,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,63,2006-10-24,0.621,0.417,10,-6.941,1,0.288,0.0,0.119,0.289,99.953,203040,4
53,3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,83,2013-08-30,0.422,0.264,8,-7.064,1,0.922,0.0,0.132,0.331,119.93,269560,4
54,6GmUVqe73u5YRfUUynZK6I,Let Her Go,Passenger,0,2012-06-29,0.479,0.545,7,-7.346,1,0.365,0.0,0.0963,0.244,74.897,252733,4
55,5Db9VIdDsN5yu3Eu7CT0i4,Stay With Me,Sam Smith,0,2014-01-01,0.479,0.419,0,-6.517,1,0.568,0.000217,0.11,0.186,85.014,172724,4
56,1VdZ0vKfR5jneCmWIUAMxK,The A Team,Ed Sheeran,73,2011-09-09,0.642,0.289,9,-9.918,1,0.669,0.0,0.18,0.407,84.996,258373,4
57,1jYiIOC5d6soxkJP81fxq2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Lil Wayne,65,2017-06-22,0.599,0.667,7,-4.267,1,0.0533,0.0,0.134,0.817,80.984,288877,4
58,2JZKXgq5zsokN01KWyiY6n,Mirrors,Justin Timberlake,0,2013-03-15,0.574,0.512,5,-6.664,0,0.234,0.0,0.0946,0.512,76.899,484147,4
59,4lCv7b86sLynZbXhfScfm2,Firework,Katy Perry,70,2012-03-12,0.638,0.826,8,-4.968,1,0.139,0.0,0.0803,0.649,124.072,227880,4
60,0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,84,2017-03-03,0.599,0.448,8,-6.312,1,0.163,0.0,0.106,0.168,95.05,263400,3
61,4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,77,2015-11-13,0.845,0.567,5,-8.118,0,0.59,0.00142,0.0811,0.793,125.02,205680,4
62,3Du2K5dLzmduCNp6uwuaL0,Sorry Not Sorry,Demi Lovato,0,2017-09-29,0.702,0.635,11,-6.917,0,0.0223,0.0,0.283,0.873,144.004,203760,4
63,6D60klaHqbCl9ySc8VcRss,Stronger (What Doesn't Kill You),Kelly Clarkson,66,2011-10-24,0.562,0.939,0,-4.282,1,0.046,0.0,0.112,0.684,116.044,221947,4
64,2dWgzqawzDkBL8QfZw92Ub,In Case You Didn't Know,Brett Young,0,2016-01-01,0.596,0.544,10,-7.294,1,0.397,0.0,0.106,0.393,147.976,224853,4
65,3IPkbTA8KkdDXyWtGkfFXa,Singles You Up,Jordan Davis,51,2017-05-26,0.635,0.903,7,-3.588,1,0.0472,0.0,0.255,0.559,100.08,182693,4
66,6zLdXcmvIxnAXpz9sXFnIE,Craving You,Maren Morris,0,2017-03-31,0.612,0.841,9,-3.795,0,0.000907,0.0,0.37,0.499,104.986,227373,4
67,2Nc8Imt04W3ZmcBF8dPQKc,All On Me,Devin Dawson,0,2017-02-17,0.631,0.658,5,-5.313,1,0.144,0.0,0.22,0.7,80.996,227573,4
68,6znSbsDDFdBZaiucjUGaWy,Light It Up,Luke Bryan,0,2017-08-23,0.596,0.935,6,-2.794,0,0.129,0.0,0.108,0.678,130.029,177292,4
69,30MM5jWpUmOxtTNd9Ey5LZ,Unforgettable,Thomas Rhett,67,2017-09-08,0.661,0.75,7,-5.497,1,0.0303,0.000132,0.0849,0.828,130.077,157080,4
70,2n5ZD87XQ2yvIxGjoYbUmZ,I'll Name the Dogs,Blake Shelton,47,2017-09-08,0.47,0.852,4,-5.874,1,0.163,2.04e-06,0.281,0.773,168.063,183200,4
71,0kdiUZDcLIFw0Buo9r0Q4z,Greatest Love Story,LANCO,0,2016-04-15,0.665,0.621,10,-8.571,1,0.38,0.0,0.119,0.632,147.975,222400,4
72,6UsoV6X96Rox9mfxoz7SFy,You Broke Up with Me,Walker Hayes,53,2017-01-27,0.846,0.711,0,-7.939,1,0.496,0.0,0.247,0.883,120.013,197840,4
73,1mJMD1VIQ7jWTP9DK2zmY0,Kiss Somebody,Morgan Evans,51,2017-07-21,0.492,0.681,6,-7.038,1,0.143,0.0,0.199,0.511,178.01,212445,4
74,3T6MAweakkNrMYs8jZIWtg,Like I Loved You,Brett Young,62,2017-02-10,0.582,0.568,1,-6.051,1,0.196,0.0,0.0841,0.64,76.025,207187,4
75,1KTLLe980WR4RLKg74Ud6e,The Long Way,Brett Eldredge,32,2017-05-12,0.488,0.637,10,-7.63,1,0.265,0.0,0.106,0.23,88.872,208653,4
76,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Florida Georgia Line,74,2017-08-11,0.643,0.783,10,-6.458,1,0.047,0.0,0.083,0.579,154.084,163870,4
77,4oeGQb7zAVNRkpjjoNHK5K,Getting Over You,Jackie Lee,0,2016-10-21,0.442,0.784,2,-4.001,1,0.0527,0.0,0.0597,0.552,170.139,173187,4
78,0OWZFobGSIW9GrSlQ9C5pc,Marry Me,Thomas Rhett,68,2017-09-08,0.333,0.412,3,-8.633,1,0.0977,0.0,0.113,0.474,85.028,205453,4
79,7zVCrzzEJU7u24sbJPXA5W,What Ifs (feat. Lauren Alaina),Lauren Alaina,71,2016-12-02,0.612,0.799,10,-4.603,1,0.00898,0.0,0.172,0.687,125.976,188253,4
80,3I7krC8kr0gFR7P6vInR1I,Do I Make You Wanna,Billy Currington,66,2015-06-02,0.553,0.747,9,-5.432,1,0.106,0.0,0.154,0.521,90.012,234307,4
81,5Zx1zVpDJsNgyY3HvNfsfC,Happens Like That,Granger Smith,0,2017-05-19,0.557,0.807,7,-5.428,1,0.189,0.0,0.234,0.578,81.045,171493,4
82,6OUdBkpAQtKyZ74cKukZ9W,We Were That Song,Brett Kissel,0,2017-09-10,0.618,0.911,9,-3.323,1,0.216,0.0,0.132,0.501,102.956,200280,4
83,7LP4Es66zdY7CyjepqmvAg,Down,Lil Wayne,3,2009-01-01,0.657,0.695,2,-4.493,1,0.0108,0.0,0.0822,0.683,65.997,212107,4
84,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Outkast,80,2003,0.727,0.974,4,-2.261,0,0.103,0.000532,0.174,0.965,79.526,235213,4
85,6WLS56xiRrXjSm9RSdL3zD,Never Forget You,MNEK,1,2015-09-10,0.583,0.732,11,-5.728,0,0.00312,9.86e-06,0.269,0.276,145.992,213428,4
86,1MtUq6Wp1eQ8PC6BbPCj8P,I Took A Pill In Ibiza - Seeb Remix,Seeb,71,2016-05-06,0.664,0.714,7,-6.645,0,0.0353,8.42e-06,0.0843,0.71,101.969,197933,4
87,2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Miley Cyrus,76,2013-10-04,0.53,0.422,5,-6.262,1,0.407,0.0,0.107,0.349,119.964,221360,4
88,3DmW6y7wTEYHJZlLo1r6XJ,Shower,Becky G,77,2014-04-23,0.699,0.529,2,-7.548,1,0.0317,3.59e-05,0.285,0.121,119.987,206167,4
89,12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),Selena Gomez,65,2017-02-17,0.64,0.533,0,-6.596,1,0.119,0.0,0.0864,0.515,99.968,220781,4
90,5KONnBIQ9LqCxyeSPin26k,Trumpets,Jason Derulo,64,2013-09-10,0.635,0.691,0,-4.862,1,0.555,0.0,0.097,0.638,82.142,217419,4
91,6Iocm6VMu6bVNYwiDoyQFW,Coming Home,Skylar Grey,68,2010-01-01,0.392,0.839,7,-1.921,1,0.158,0.0,0.3,0.232,168.001,238693,4
92,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Anne-Marie,74,2016-10-21,0.72,0.763,9,-4.068,0,0.406,0.0,0.18,0.742,101.965,251088,4
93,6epn3r7S14KUqlReYr77hA,Baby,Ludacris,81,2010-01-01,0.728,0.859,5,-5.237,0,0.0401,0.0,0.111,0.535,65.043,214240,4
94,49FYlytm3dAAraYgpoJZux,Umbrella,JAY-Z,80,2008-06-02,0.583,0.829,1,-4.603,1,0.00864,0.0,0.0426,0.575,174.028,275987,4
95,5vlEg2fT4cFWAqU5QptIpQ,Replay,Iyaz,72,2009-08-11,0.706,0.751,9,-6.323,1,0.173,0.0,0.168,0.195,91.031,182307,4
96,1DqdF42leyFIzqNDv9CjId,Dynamite,Taio Cruz,65,2010-01-01,0.754,0.804,4,-3.177,1,0.00332,0.0,0.0329,0.818,119.968,203867,4
97,4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling,Black Eyed Peas,30,2009-01-01,0.743,0.766,0,-6.375,1,0.0873,0.0,0.509,0.61,127.96,289133,4
98,67WTwafOMgegV6ABnBQxcE,Some Nights,fun.,69,2012-02-14,0.672,0.738,0,-7.045,1,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4
99,5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),Rupert Holmes,74,1979-01-01,0.836,0.509,0,-13.668,1,0.467,4.1e-06,0.0436,0.949,138.714,276493,4
100,1LeWIs2hP2r5yOQnVuYoI5,Ain't No Mountain High Enough,Tammi Terrell,0,1967-08-29,0.663,0.6,7,-10.87,1,0.43,0.0,0.184,0.8,129.991,151667,4
101,5YTtTbqxUzJHD3CpbNHerP,Brighter Than The Sun,Colbie Caillat,63,2011-01-01,0.629,0.793,9,-5.942,1,0.00952,1.15e-06,0.218,0.588,95.981,231213,4
102,6l7tK5SsMlN8a9ccgeIkpS,Sweet Caroline - Single Version,Neil Diamond,0,1996-10-29,0.556,0.161,11,-13.944,1,0.505,4.36e-05,0.28,0.588,126.534,201800,4
103,4W4wYHtsrgDiivRASVOINL,Love Shack,The B-52's,70,1989-06-23,0.701,0.803,5,-6.786,0,0.0544,1.54e-06,0.7,0.903,133.608,320680,4
104,05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,77,1985,0.596,0.869,10,-11.97,1,0.0116,0.173,0.0678,0.944,109.902,238733,4
105,7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,80,2014-09-08,0.484,0.731,1,-6.694,1,0.431,0.0,0.151,0.51,101.654,204280,4
106,2nXM8IVqKtyO6JKsLlXWAy,Ho Hey,The Lumineers,33,2012-01-01,0.684,0.47,0,-9.088,1,0.802,0.0,0.0711,0.381,79.934,163133,4
107,3HRQtRUYnnuZY7fE900XtJ,Don't Stop Believin',Journey,61,2010-02-26,0.495,0.781,4,-8.109,1,0.254,0.0,0.395,0.473,119.206,248200,4
108,22c2pt75xtnDddA5Zlm0yy,All Star,Smash Mouth,0,2005-01-01,0.73,0.862,11,-5.876,1,0.0398,0.0,0.0818,0.77,104.018,200560,4
109,5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),Beyoncé,67,2008-11-17,0.426,0.584,1,-5.293,1,0.0383,0.0,0.188,0.272,193.437,193213,4
110,7ksYJ95P5vP87A0GH34CIk,Ridin' Solo,Jason Derulo,55,2010-03-01,0.442,0.83,9,-4.02,1,0.128,0.0,0.129,0.578,89.338,215747,4
111,03oZejWqXLbKhhM4iTgShq,What Makes You Beautiful,One Direction,0,2012-05-25,0.726,0.778,4,-2.483,1,0.00851,0.0,0.082,0.868,125.0,198840,4
112,20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,78,2012-01-01,0.783,0.58,7,-6.548,1,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
113,6RgGppm2SSX5p246UqfdEi,Sweet Home Alabama,Lynyrd Skynyrd,0,2008-01-01,0.609,0.661,7,-9.549,1,0.0915,0.000482,0.254,0.892,97.93,284413,4
114,3X7abqSXC4xrxuC1ykpWcY,Livin' On A Prayer,Bon Jovi,0,2010-01-01,0.522,0.882,0,-3.216,1,0.0599,0.00021,0.33,0.815,122.541,250627,4
115,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,78,1970-12-07,0.741,0.697,0,-7.028,1,0.0664,2.28e-05,0.133,0.774,116.109,160133,4
116,5e3l460eVGMNqQgFc9Rv7q,September,"Earth, Wind & Fire",0,1973,0.692,0.803,9,-8.627,1,0.151,0.000808,0.181,0.981,125.919,215067,4
117,66AiuTr5v9tw6B8gXau2aU,Ice Ice Baby,Vanilla Ice,34,2005-08-16,0.949,0.876,0,-6.472,1,0.0128,0.0,0.124,0.483,117.579,250413,4
118,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,Christina Aguilera,73,2014-01-20,0.407,0.147,2,-8.822,1,0.857,2.89e-06,0.0913,0.0765,141.284,229400,3
119,2Fs18NaCDuluPG1DHGw1XG,Life is a Highway,Rascal Flatts,73,2006-01-01,0.582,0.952,5,-3.848,1,0.00324,0.0,0.223,0.655,103.027,276320,4
120,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,80,2010-10-05,0.635,0.841,5,-5.379,1,0.0134,0.0,0.0622,0.424,109.021,220734,4
121,43btz2xjMKpcmjkuRsvxyg,Jack & Diane,John Mellencamp,73,1982,0.811,0.41,9,-8.214,1,0.0365,6.63e-06,0.0799,0.626,103.965,254493,4
122,7woZGXjtaYwuvSoU1zToB3,Free Fallin',Tom Petty,0,1989-01-01,0.617,0.435,5,-13.547,1,0.178,0.0,0.0822,0.601,84.382,256667,4
123,4rsW3WCZBGwhHfJWuHRwyT,Home,Phillip Phillips,67,2013-01-01,0.606,0.826,0,-6.04,1,0.0256,1.56e-05,0.117,0.322,121.04,210173,4
124,4dGJf1SER1T6ooX46vwzRB,Chicken Fried,Zac Brown Band,1,2008-11-17,0.566,0.713,6,-4.25,1,0.645,0.0,0.114,0.807,169.864,238147,4
125,0kN3oXYWWAk1uC0y2WoyOE,Love Story,Taylor Swift,49,2008-11-11,0.618,0.736,2,-3.937,1,0.157,0.0,0.073,0.307,118.982,235280,4
126,3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,Darius Rucker,76,2013-01-01,0.537,0.66,9,-7.174,1,0.455,0.0,0.135,0.574,148.096,298373,4
127,2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,82,1985-06-01,0.573,0.902,6,-7.638,0,0.018,0.00125,0.0928,0.876,84.412,225280,4
128,3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),Kesha,80,2012,0.581,0.963,11,-4.087,1,0.0295,0.0,0.139,0.788,129.992,204160,4
129,4uUwD0uYzIDjKMKQglzmD2,Song of the South,Alabama,44,2004-10-08,0.486,0.647,9,-8.066,1,0.189,0.0,0.305,0.628,162.218,190747,4
130,4swEkkLocrQ569W1lYIbdX,Dixieland Delight - Single Edit,Alabama,0,1998-08-01,0.464,0.405,7,-12.538,1,0.208,1.1e-05,0.0749,0.514,95.852,235915,4
131,7lJSxSUUlrZ7CxiyO3X0vq,"Hey, Soul Sister",Train,0,2013-05-03,0.666,0.868,1,-6.188,0,0.166,0.0,0.0828,0.806,97.039,217547,4
132,4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),Pitbull,78,2010-03-30,0.663,0.861,7,-3.398,0,0.0338,0.0,0.082,0.654,119.963,220800,4
133,4esOae7i4rqTbAu9o5Pxco,Girl on Fire,Alicia Keys,75,2012-11-18,0.482,0.706,9,-5.762,1,0.135,0.00106,0.105,0.144,92.513,224920,4
134,7l1qvxWjxcKpB9PCtBuTbU,Count on Me,Bruno Mars,73,2010-10-05,0.589,0.389,0,-5.972,1,0.851,0.0,0.0772,0.501,89.1,197470,4
135,22PMfvdz35fFKYnJyMn077,Marry You,Bruno Mars,73,2010-10-05,0.621,0.82,10,-4.865,1,0.332,0.0,0.104,0.452,144.905,230192,4
136,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,85,2012-12-07,0.726,0.698,5,-4.165,1,0.049,0.0,0.309,0.867,143.994,233478,4
137,0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,Bruno Mars,72,2016-11-17,0.578,0.574,2,-6.209,1,0.196,0.0,0.083,0.301,174.152,261240,4
138,2tJulUYLDKOg9XrtVkMgcJ,Grenade,Bruno Mars,76,2010-10-05,0.704,0.558,2,-7.273,0,0.148,0.0,0.107,0.245,110.444,222091,4
139,1ExfPZEiahqhLyajhybFeS,The Lazy Song,Bruno Mars,71,2010-10-05,0.794,0.711,8,-5.124,0,0.3,0.0,0.0955,0.955,174.915,189109,4
140,3JvrhDOgAt6p7K8mDyZwRd,Riptide,Vance Joy,78,2014-09-09,0.484,0.731,1,-6.694,1,0.431,0.0,0.151,0.51,101.654,204280,4
141,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,82,2016-10-28,0.358,0.557,10,-7.398,1,0.695,0.0,0.0902,0.494,85.043,211467,4
142,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,79,2008-05-12,0.703,0.444,11,-9.331,1,0.559,0.0,0.0973,0.712,150.96,242947,4
143,4tM7IvirymOPAk74Us27kD,Let Me Take You Out,Travis Porter,48,2010-01-01,0.705,0.63,8,-5.842,1,0.157,0.0,0.108,0.641,139.957,225707,4
144,4E5P1XyAFtrjpiIxkydly4,Replay,Iyaz,75,2009-08-18,0.706,0.751,9,-6.323,1,0.173,0.0,0.168,0.195,91.031,182307,4
145,1Q1jlFs004vwB0DOznii3K,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),Yung Joc,47,2014,0.691,0.542,1,-8.161,1,0.0112,0.0,0.098,0.587,80.052,230853,4
146,5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Ludacris,81,2004-03-23,0.894,0.791,2,-4.699,1,0.0183,0.0,0.0388,0.583,105.018,250373,4
147,6ND2f7SUjYNpLqL0WPcNT1,Down,Lil Wayne,0,2009-01-01,0.654,0.684,2,-4.509,1,0.0108,0.0,0.0768,0.7,66.001,212280,4
